《资治通鉴》导读（2019春）	['《资治通鉴》导读(自主模式)']
电动力学（下）（自主模式）	['电动力学（上）（自主模式）']
生死学（自主模式）	['生死学（2019春）']
生死学（2019春）	['生死学（自主模式）']
自然保护与生态安全：拯救地球家园（2019春）	['自然保护与生态安全：拯救地球家园']
自然保护与生态安全：拯救地球家园	['自然保护与生态安全：拯救地球家园（2019春）']
创客培养：趣味力学实验与制作（自主模式）	['创客培养：趣味力学实验与制作（2019春）']
创客培养：趣味力学实验与制作（2019春）	['创客培养：趣味力学实验与制作（自主模式）']
商务礼仪（自主模式）	['商务礼仪（2019春）']
商务礼仪（2019春）	['商务礼仪（自主模式）']
生活、艺术与时尚：中国服饰七千年（2019春）	['生活、艺术与时尚：中国服饰七千年（自主模式）']
生活、艺术与时尚：中国服饰七千年（自主模式）	['生活、艺术与时尚：中国服饰七千年（2019春）']
普通生物学（2019春）	['普通生物学（先修课）（2019春）']
普通生物学（先修课）（2019春）	['普通生物学（2019春）']
互联网体系结构	['互联网体系结构（自主模式）']
互联网体系结构（自主模式）	['互联网体系结构']
华文趣味教学法（2019春）	['华文趣味教学法（自主模式）']
华文趣味教学法（自主模式）	['华文趣味教学法（2019春）']
2017年清华大学研究生学位论文答辩（一）	['2017年清华大学研究生学位论文答辩（二）']
2017年清华大学研究生学位论文答辩（二）	['2017年清华大学研究生学位论文答辩（一）']
藏语言文字学概论	['藏语言文字学概论（2019春）']
藏语言文字学概论（2019春）	['藏语言文字学概论']
中国建筑史（上）(自主模式)	['中国建筑史（下）（自主模式）']
中国建筑史（下）（自主模式）	['中国建筑史（上）(自主模式)']
运动与健康（2019春）	['运动与健康（自主模式）']
运动与健康（自主模式）	['运动与健康（2019春）']
现代生活美学进阶（自主模式）	['现代生活美学进阶（2019春）']
现代生活美学进阶（2019春）	['现代生活美学进阶（自主模式）']
如何写好科研论文（2019春）	['如何写好科研论文（自主模式）']
如何写好科研论文（自主模式）	['如何写好科研论文（2019春）']
生产计划与控制（2019春）	['生产计划与控制（自主模式）']
生产计划与控制（自主模式）	['生产计划与控制（2019春）']
西方哲学精神探源（2019春）	['西方哲学精神探源(自主模式)']
西方哲学精神探源(自主模式)	['西方哲学精神探源（2019春）']
工程制图 （2019春）	['工程制图 （自主模式）']
工程制图 （自主模式）	['工程制图 （2019春）']
环境污染事件与应急响应（2018秋）	['环境污染事件与应急响应（2019春）']
环境污染事件与应急响应（2019春）	['环境污染事件与应急响应（2018秋）']
唐宋词鉴赏（2019春）	['唐宋词鉴赏(自主模式)']
唐宋词鉴赏(自主模式)	['唐宋词鉴赏（2019春）']
毛泽东思想和中国特色社会主义理论体系概论（2019春）	['毛泽东思想和中国特色社会主义理论体系概论（自主模式）']
毛泽东思想和中国特色社会主义理论体系概论（自主模式）	['毛泽东思想和中国特色社会主义理论体系概论（2019春）']
暖通空调(2019春)	['暖通空调(自主模式)']
暖通空调(自主模式)	['暖通空调(2019春)']
走进医学（自主模式）	['走进医学（2019春）']
走进医学（2019春）	['走进医学（自主模式）']
解读西夏（2019春）	['解读西夏']
解读西夏	['解读西夏（2019春）']
网络、群体与市场（自主模式）	['网络、群体与市场（2019春）']
网络、群体与市场（2019春）	['网络、群体与市场（自主模式）']
Java程序设计（2019春）	['Java程序设计（自主模式）']
Java程序设计（自主模式）	['Java程序设计（2019春）']
丝路南线民间文学（2019春）	['丝路南线民间文学（自主模式）']
丝路南线民间文学（自主模式）	['丝路南线民间文学（2019春）']
土力学（2019春）	['土力学（自主模式）']
土力学（自主模式）	['土力学（2019春）']
思想道德修养与法律基础(2018秋)	['思想道德修养与法律基础（中南大学）']
思想道德修养与法律基础（中南大学）	['思想道德修养与法律基础(2018秋)']
初级管理会计（2019春）	['初级管理会计(自主模式)']
初级管理会计(自主模式)	['初级管理会计（2019春）']
逻辑学概论（2019春）	['逻辑学概论（自主模式）']
逻辑学概论（自主模式）	['逻辑学概论（2019春）']
日常思考的科学（自主模式）	['日常思考的科学（2019春）']
日常思考的科学（2019春）	['日常思考的科学（自主模式）']
模拟电子技术基础(应用部分)（自主模式）	['模拟电子技术基础(自主模式)', '模拟电子技术基础(基础部分)(自主模式)']
模拟电子技术基础(自主模式)	['模拟电子技术基础(应用部分)（自主模式）', '模拟电子技术基础(基础部分)(自主模式)']
模拟电子技术基础(基础部分)(自主模式)	['模拟电子技术基础(应用部分)（自主模式）', '模拟电子技术基础(自主模式)']
工程伦理（自主模式）	['工程伦理（2019春）']
工程伦理（2019春）	['工程伦理（自主模式）']
环境地学原理（2019春）	['环境地学原理（自主模式）']
环境地学原理（自主模式）	['环境地学原理（2019春）']
中级财务会计(自主模式)	['中级财务会计（2019春）']
中级财务会计（2019春）	['中级财务会计(自主模式)']
2015年清华大学研究生学位论文答辩（一）	['2015年清华大学研究生学位论文答辩（二）']
2015年清华大学研究生学位论文答辩（二）	['2015年清华大学研究生学位论文答辩（一）']
C语言程序设计（下）(2019春)	['C语言程序设计（上）(2019春)']
C语言程序设计（上）(2019春)	['C语言程序设计（下）(2019春)']
教育社会学（自主模式）	['教育社会学（2019春）']
教育社会学（2019春）	['教育社会学（自主模式）']
基因工程（2019春）	['基因工程']
基因工程	['基因工程（2019春）']
微积分B(1)（自主模式）	['微积分B(2)(自主模式)']
微积分B(2)(自主模式)	['微积分B(1)（自主模式）']
经典与思考——人文清华大师面对面（2019春）	['经典与思考——人文清华大师面对面（自主模式）']
经典与思考——人文清华大师面对面（自主模式）	['经典与思考——人文清华大师面对面（2019春）']
传播学原理（2019春）	['传播学原理（自主模式）']
传播学原理（自主模式）	['传播学原理（2019春）']
无机化学(2019春)	['无机化学']
无机化学	['无机化学(2019春)']
中国近现代史纲要（2019春）	['中国近现代史纲要（2019春）', '中国近现代史纲要（自主模式）', '中国近现代史纲要（2019春）', '中国近现代史纲要（自主模式）', '中国近现代史纲要（自主模式）']
中国近现代史纲要（2019春）	['中国近现代史纲要（2019春）', '中国近现代史纲要（自主模式）', '中国近现代史纲要（2019春）', '中国近现代史纲要（自主模式）', '中国近现代史纲要（自主模式）']
